userName,score,at,content
Yerri Gunawan,2,2022-04-05 03:58:04,"Mengapa aplikasi ini lellleeeeeet sekali???? Buka di pc juga sama leletnyaa... Sedangkan sy buka aplikasi / situs lain, lancar² saja..."
Ghabut Okey,1,2022-04-05 03:14:46,"Tolong lah kalo mau upgrade diperhatikan semuanya... Ini kan aplikasi sejuta umat ... Semua rakyat wajib memiliki aplikasi ini, kan ga semua orang punya hp versi terbaru... Lah ini di hp versi lama, busehh lama banget buka nya sekalinya kebuka malah error..."
Yoes Rizal89,5,2022-04-05 02:37:31,Bagus dan mudah Ganti nomer hp tidak masalah. Chat ke admin dari kemenkes direspon dg baik. Tadinya status boster tidak muncul. Setelah chat via wa. Status vaksin 3 langsung muncul. Terimaksih.
Rahmat Priyono,1,2022-04-04 22:26:48,"Susah gak bisa ngeklem sertifikat booster, padahal sudah bener prosedur nya, tapi di aplikasi ada aja alesan nya, mohon di perbaiki lagi aplikasi ini, terimakasih"
Tri Nugroho,1,2022-04-04 11:46:50,"Skrng apk Pedulilindungi dibeberapa Mall di Denpasar sptnya tdk berfungsi dgn baik, HP tdk keluar kamera utk scan. Saya baca dari para komentar tp jawabannya hanya mohon maaf atas ketidaknyamanan......tp tdk segera memperbaiki, pd hal sdh menghabiskan uang negara dan baru brp tahun sdh tdk berfungsi dengan baik."
Epul Saepuloh,5,2022-04-04 11:31:13,Yang pada kesulitan... Ya enggak mau mencari tahu dan dia nggak mau ribet Update diperlukan untuk sekali ketika ada informasi yang terbaru semakin sering update berarti semakin banyak informasi yang terbaru Tidak perlu waktu lama nggak nyampe 1 menit selesai Itu kalau ada kuota internet nya
Darmin Sinaga,1,2022-04-04 09:52:58,"Aplikasi nya kurang bagus,udah vaksin ke 3(boster) tp sertifikat nya tidak ada muncul di aplikasi,apa memang tidak di buat sertifikat nya vaksin boster..😀"
Uncle Van World,1,2022-04-04 05:35:08,Tetap bintang satu Yang buat program ga mikir orang ga semua punya HP yg ram gede.. Gimana mau update apk nya Udah full memori Sedangkan di tempat umum harus pake apk ini.. Smoga banyak rakyat yg kasih bintang satu Buat aplikasi ini Ga guna Tapi dipaksa harus pakai untuk masuk ke tempat umun
Ervina Rahma,5,2022-04-04 05:10:44,"Izin memberi saran, untuk setting tanggal lbh baik ditulis saja, kalau sistemnya di geser2 lama dan memakan waktu. 🙏🏼"
Aprilariski Madiun,5,2022-04-04 04:32:41,Sayangnya aplikasi ini gak bisa pakai aplikasi kamera lain buat ambil gambar scan kode. Kamera belakang hpku rusak. Jadi gak bisa scan kode. Gak bisa masuk mall.
Azwar Anas,1,2022-04-04 03:53:26,"Aplikasi ngeselin, sudah saya klaim tapi malah ga bisa, adehhhh . Sekali lagi sangat ngeselin😂😂😂 lebih kesel daripada saat liat Arsenal kalah final liga Champion thn 2006😂😂😂. Aplikasi super masyaAllah dalam hal ngeselin😂😁"
Onyoi Belang,1,2022-04-04 03:26:06,diupdate bukannya nambah mudah eh nambah ribet. masa iya sertifikat ga bisa diunduh gegara android mesti versi terbaru 7.0 . tau gitu developer mending luncurin versi lama aja. sangat menyebalkan.
Andara Kirana,1,2022-04-04 02:49:32,"Di keterangan sertifikat muncul dalam 1x24 jam, tapi udah 3 hari ga muncul. Pengen vaksin biar dipermudah segala urusan, malah dibikin ribet karna sertifikat ga keluar. Udah email, nelpon 119 ga ada yg respon. Mempersulit masyarakat."
Chriez Chezy,1,2022-04-03 18:14:17,Aplikasi rusak. Dah 1tahun sertifikat vaksin gw yang ke 2. Gak muncul juga. Payah dan payah. Aplikasi bobrok. Gw di suruh ke sono kesini cuma di janjiin katanya nanti di urus dan di masukan ke data server. BUKTINYA NOL!!! KLO APLIKASI BELOM SEMPURNA DNA MASIH BANYAK YANG KERJA MAKAN GAJI BUTA MENDING TUTUP AJA APLIKASINYA. SEMOGA SEGERA DIHAPUS APLIKASI INI OLEH PLAYSTORE.
malik utama putra,1,2022-04-03 14:45:02,udah vaksin lebih dari 24 jam tapi sertifikat belum muncul juga. update sudah lewat web sudah chatboot sudah hasilnya nihil. padahal print out dari faskes nya lengkap
Ahmad Gunnar,1,2022-04-03 11:48:21,Sangat sulit untuk mendapatkan upgrade an hasil vaksin dan hasil swab pun masih saja belum keluar .!!!!!
Heru Ammar Alfatih,1,2022-04-03 11:27:44,Gk bisa buat smua hp & klo isi data kurang praktis dlm mengisi tgl/bln/thn....hrs mundur & ribet. Hrsnya isinya diketik lbh praktis & cepat. Gk kasih bintang banyak dl.....lbh baik cetak kartu aja praktis
franky oktavianus,5,2022-04-03 08:00:18,"Kok lemot aplikasi peduli lindungi nya untuk di download. Tolong di bantu untuk pelayanan nya Pak, agar terhubung dengan baik. Dalam segala bentuk kegiatan jasmani keseluruhannya. Terima kasih"
siti fadia Nur'aini,3,2022-04-03 06:29:59,"Saya kemarin tanggal 28 Maret vaksin ke 3 booster, tapi sampe sekarang sertifikat blm muncul diaplikasi padahal dari pihak Polsek sudah di input data saya ini gimana si? Saya dah coba hubungi layanan peduli lindungi tapi nihil tidak ada hasil"
Setyo Budi,4,2022-04-03 05:29:24,"Saat vaksin 1 dan 2 sertifikat bisa dilihat lalu bulan Maret 2022 saya vaksin ketiga dan saya coba cek sertifikat vaksin tidak bisa kenapa ya? Saya juga coba klaim sertifikat (dlm menu itu ada fasilitas klaim) tapi tetap tidak bisa lihat sertifikat 1,2 & 3 Ada solusikah"
Umar faruq assyadillah,1,2022-04-03 04:58:02,"Ini apk yg buat siapa sih, banyak bgt kendalanya mulai dari rechapta error, delay lama pdhl jaringan stabil, juga halaman yg selalu reset kalo kita kembali harus isi data dari awal lagi. Apalagi pas pilih tgl lahir ribet bgt asli. Apalagi ada batas attemp per hari, kalo ada kesalahan masukin data harus tunggu ganti hari"
Mushthafa Hilmiy,3,2022-04-03 02:32:18,"Pak sebelumnya sertifikat saya sudah lengkap. Sekarang tiba tiba hilang dari data. Saat mau diclaim perlu tanggal vaksinasi, kan gak mungkin kita mengingat tanggalnya selamanya. Jadi tolong distatus vaksinasi ditambahkan tanggal agar mempermudah kita. Dan bagaimna masalah sertifikat saya?"
iifia susanti,1,2022-04-03 01:59:52,"Diupgrade malah semakin susah sertifikat ketiga saya saja belum keluar padahal sudah vaksin satu bulanan, kecewa sh, minta tlng dgn sangat dipercepat lg diperbaiki biar sertifikat ketiga saya cepat muncul. Terimakasih"
kholis majid,2,2022-04-02 21:23:25,Kemarin saya sudah vaksin boster dan kartu vaksin saya hilang dan di aplikasi tidak muncul saya mencoba klaim tapi tetap saja tidak bisa Gimana pencerahannya min soalnya itu salah satu akses buat bisa masuk kerja
noval tri saputra,1,2022-04-02 14:57:35,"Aplikasi bobrok, udah vaksin ke 3 tapi gak keluar² sertifikat nya sampe 3 Minggu. Udah di email gak ada respon. SUDAH COBA KLAIM SERTIFIKAT NAMUN YANG TERJADI MALAH ""VACCINE DATE NOT MATCH"" kan ngaco."
Kurnia Jaya,1,2022-04-02 14:43:45,Sangat memberatkan orang dalam beraktifitas meski sudah vaksin tapi tak mempunyai gawai yg bisa digunakan utk mendownload app PL..mohon diperbaiki app ini agar bisa di download di android versi lama.
m rizky30,1,2022-04-02 12:55:56,Vaksin pertama dan kedua sudah ada sertifikat tapi yang ketiga belum dapat sertifikat gimana ini padahal sudah tiga hari biasa nya satu sudah ada di aplikasi ini ma belum.
A Free,1,2022-04-02 12:48:25,"ga bisa klaim sertifikat vaksin 😭 di chat bot ga ada pilihan vaksin ketiga, di login logout gabisa, udah di update gabisa,di website gabisa, sampe frustasi, udah hubungi fakses udah di input, gimana sii😭bangke"
sami'an,2,2022-04-02 11:30:03,"App resmi kominfo,,, hemmm,,, klaim sertifikat susah,,, captcha selalu error,,, 2x error suruh besok mengulang,,, dah berhari2 mengulang tetap gk bisa klaim sertifikat booster"
Sukirman Hafiz,5,2022-04-02 08:55:38,Saya sangat puas dengan layanan ini walau tadi nya sempat kesal dan bingung karena sertifikat faksinya tidak muncul tapi pas saya pelajarin dan tahu caranya saya senang suka sekarang sertifikat saya sudah muncul d aplikasi ini semoga kedepen nya lebih baik lagi trimakasih....
Ari Korea,5,2022-04-02 07:34:16,Peduli Lindungi menjadi satu data base. Sy pikir sudah waktunya digitalisasi data di semua sistem..
Ersan Afrizal,2,2022-04-02 05:29:44,"Sertifikat vaksin saya tidak bisa dilihat, disuruh mengkalim sudah saya ikuti dan isi data data dengan sesuai tetapi tetap tidak bisa, saya sudah coba mengubungi by email dan wa tetap tidak ada respon bagaimana yaa?? Kalau seperti ini saya harus menanyakan kemana lagi??"
its tamtam,1,2022-04-01 23:17:41,"sertifikat vaksin booster saya gak keluar, udah coba berkali-kali, selalu salah di tanggal vaksin,padhal jelas ditanggal tersebut saya vaksin, dan untuk tanggal tahun bulan kelahiran terlalu ribet nyari tanggalnya,yg lahir tahun 1989 harus klik klik mundur terus kebelakang,kalo mau check in juga kdg error mulu.. aplikasi bobrok,tolong diperbaiki dong!!"
Nurul Fatimatuz,2,2022-04-01 13:05:19,"utk cek status sertifikat vaksin, awal nya hijau... selang bebrapa menit ngecek lg, malah blum trdaftar vaksin. utk program Ehac, sya punya 2 pilihan, sdngkan sodara sudah 3 pilihan. smoga bisa support di versi android manapun."
Tugiyono Sarjono,1,2022-04-01 11:39:19,"Aplikasi tolol. Menu tanggal lahir bikin kaya orang bego. Milih tahunya bisa diganti gak. Model ketik input. Mosok model geser, gak ada akhlak. Mikir gak kalo jempol bisa kriting mencet untuk milih tanggal lahir."
Muddrika Martinis Albertho,1,2022-04-01 05:45:35,Aplikasi nyasedikit bagus tapi kekurangannya banyak tidak bisa download sertifikat dan ketika saya klik sertifikat nya jadi ngezooom dan terpotong aplikasinya lelet
Yoris Lamak,1,2022-04-01 04:30:39,Minta tolong untuk tiket vaksin ke 3 kalau bisa secepatnya bisa muncul karna sudah lama vaksin ke 2 namun petugasnya lalai untuk input data vaksin ke 2 jadi setelah di input harusnya sudah bisa muncul tiket vaksin ke 3 nya mohon untuk di tindak lanjut segera
Nanda Doang,2,2022-04-01 03:01:31,Maaf sebelumnya mau nanya. Ini saya sudah faksin yg ke 3. Tapi pas mau dicek di apk peduli lindungi knpa tida bisa login/masuk. Padahal saya sudah mempunyai akun namun tida bisa dan terus tertulis USER NOT FOUND mohon dibantu???
Chahyadhi Adi,5,2022-04-01 01:17:32,"Terimakasih banyak untuk peduliLindungi aplikasinya bermanfaat banget dan berguna di kala kita sudah di vaksin 1,2,3 dan berpergian pun tidak ribet cukup dengan scan barcode saja sudah aman mau kemana2 juga."
Stefanus Albert,1,2022-04-01 00:01:02,"Ni aplikasi kenapa belum kompatibel sama Android 12 dah? Aplikasi error terus di latar belakang, jadi mau gamau harus matiin pengoperasian di latar belakang. Kalo ga dispam terus aplikasi tidak merespons. Tolong ya diperbaiki, malah makin ancur ini aplikasi saya liat-liat 😡"
Susi,1,2022-03-31 17:34:11,"Sertifikat semuanya ilang pdhl udh vaksin ke 3 ,, setelah d klaim bbrpa kali tpi msh ttp ga muncul ,, mending versi lama ketimbang versi terupdate tpi mlh bkin bingung"
musa 12,1,2022-03-31 13:34:09,"Hehe, aplikasi yg sangat memantau kehidupan pribadi. Kemana mana harus scan, pertama kali instal ada percobaan ""akses"" kedalam file,kamera.. penyadapan bosku???"
FZ Muttaqien 1484,1,2022-03-31 13:00:41,Informasi vaksin berikutnya ga muncul2..harusnya ada notifikasi info vaksin berikutnya kapan jgn harus di tanya dulu baru jawab..untuk penulisan tanggal lahir msh blom praktis/manual msh menyusahkan..bbrp kali update msh sama saja tampilan menunya..untuk simpan foto diri sendiri di profil jg gak bisa..woy aplikasinya di benahi biar sempurna woy..aplikasinya tambah jelek..menu sertifikat saja tidak muncul gmn mau di unduh..uninstal aplikasi ini lebih baik..
eryawan cool,1,2022-03-31 12:37:10,"Kalau ada rating bintang 1/2 akan saya kasih rating 1/2, karena rating 1 bintang saja terlau baik. Saya sudah update, android hp saya sudah versi 12 terbaru. Tolong jangan cuma minta maaf kalau dikasih saran oleh pengguna. Segera diperbaiki & direalisasikan. NGESELIN tau ga pakai aplikasi ini, mau klaim sertifikat saja ga bisa, di email ga di balas, telpon 119 ga bisa. Tolong dong, masyarakat sudah mau pakai aplikasi ini, tapi jadi ngerasa kesel sendiri kalau pakai aplikasi ini."
Reflin Raditya,1,2022-03-31 11:09:08,"Aplikasi gak jelas bukannya mempermudah malah mempersulit, saya sudah vaksin 1 sampai ke 3 tpi knpa sertifikat vaksin saya gak ada, udah berpa kali isi data masih aja gak bisa mendingan aplikasi yang dulu dari pada Yang sekarang"
ini setatus,2,2022-03-31 09:57:23,Untuk server jelek. Kadang loadingnya lama GK bisa tap langsung buka nunggu dulu beberapa detik. Walaupun jiringan sama hp bagus juga tetep sama
Adnan Kemal,1,2022-03-31 09:12:55,"Hallo founder, programer,staff,costumer servis pedulilindungi yang terhormat. It's oke, untuk akses masuk dengan scan barcode cukup membantu. Tapi ,ketika kita mau klaim sertifikat. Kita masukan nik, dan nama secara manual. Masalah nya adalah, kenapa pas mau masukan tanggal lahir tidak bisa di tulis secara manual saja? Kenapa harus kita jelajahi kalendar dari tahun ke tahun. Itu sangat merepotkan sekali. Kenapa programer pedulilindungi membuat atau mempelihara kesulitan? Kuliah dimana sih?"
Nur Jakarta,3,2022-03-31 07:22:59,Aplikasi ini cukup membantu untuk keluar masuk area tertentu yang memerlukan hasil vaksin .. Tapi untuk cek setirfikat dan data sesudah vaksin tidak bisa padahal saya sudah vaksin dua kali dan data yg di isi sudah benar..mohon untuk di tingkatkan lagi ya🙏
nabilaputri anggraeni,2,2022-03-31 06:46:22,"Menurut saya utk bisa pny aplikasi ini hrs versi android 6.0 atau lebih tinggi itu KASIAN yg HPny msh versi dibawah 6,contohny orang yg SDH tua,atau mereka yg hidupnya pas2an dimasa pandemi ini.mereka tdk mementingkan hp bagus tp manfaatnya..Jangan disamaratakan semua org bs pny hp android versi 6 ke atas dong min,mereka jg butuh aplikasi ini karena kemanapun pergi dan masuk ke suatu tmp mewajibkan pny aplikasi ini."
Bardi Kesugihan,1,2022-03-31 06:02:46,"Sudah di perbarui,,tapi kok ga bisa buat liat sertifikat vaksin 1,2, boster.padahal dah ada 1bulan.. Lelet.. Mengecewakan.."
Little Fennik,4,2022-03-31 05:17:38,"haduh ini apk masa saya ingin Klaim Sertifikat tidak bisa, selalu tanggal vaksinasi tidak valid, padahal sudah benar, kata petugas kesehatannya 2-3 Hari bisa Otomatis terkirim oleh sistem, semoga saja ada, karena saya butuh sekali ini"
Yongki yongkie,3,2022-03-31 05:14:58,"Sdh update versi terbaru tgl 31 maret 2022,tapi sertifikat msh tidak muncul juga,padahal pada versi2 sebelumnya sertifikat ada,sdh restart n logout aplikasi,sdh coba klaim sertifikat tetep tdk bisa,hp android OS 11,mohon pencerahan"
Najjah Luthfiyati,2,2022-03-31 03:23:18,Sudah diupgrade tp masih tetep sertificate ke3 ga bisa masuk. Uda diklaim berulang masih tetep sama ga bisa. Aplikasinya ga membantu.
ar comp,1,2022-03-31 02:59:26,"Nama vaksin CoronaVac tidak terdaftar. Aplikasi buruk, lambat, ngelacak lokasi terus, makan memory banyak."
Dwlrma,1,2022-03-31 02:39:47,"Mau cek sertifikasi vaksin aja dipersulit,pakek huruf balok nggak bisa, huruf kapital nggak bisa, padahal nik dan nama udah sama sesuai ktp, sekarang udah limit, suruh nunggu besok"
Poetry Ramadhanie,2,2022-03-30 19:48:02,"Ini apk sebenarnya sangat membantu,tapi sayang terlalu sering ngbug sering eror,terus terlalu sering update tapi tidak ada peningkatan,malah makin jelek di update aneh 🤔🤔"
Alex RS,1,2022-03-30 15:02:52,"Aplikasi yg justru semakin sulit, peng upgarde an apalikasi ini semakin kesini harus menyesuaikan dengan Hp versi terbaru, sehingga dengan hp versi lama tidak ter support. Seperti lemot yg luar biasa dan eror pula. pengisian data pun lumayan begitu sulit dan ber ulang ulang terus."
Syanazta Sabrina,1,2022-03-30 13:17:17,"Ngeselin.kalo klik saya bukan robot malah muncul gambar aneh,ngebug juga,saya sarankan untuk tanggal lahirnya di tulis aja pake keyboard,jangan yg kayak gini."
Bonar Sitanggang,1,2022-03-30 12:20:13,"Aplikasi yang sangat menyusahkan, untuk memperbaharui profil terkadang bisa terkadang tidak bisa. Untuk aplikasi yang dibutuhkan dimana2 ini sangat menyusahkan."
Aloysius anung Nugroho,3,2022-03-30 09:47:49,"Sudah baik. Cuman ada beberapa hal yang masih harus ditingkatkan seperti masalah gagal login, tidak munculnya capcha dan loading data server yang lama"
lily lau,1,2022-03-30 09:12:37,barcode sertifikat vaksin untuk keluar negeri kenapa tidak bisa terbaca sudah di coba berkali2. Tolong kenapa barcode sertifikat nya
Lisa Aja,3,2022-03-30 08:43:38,"Lemot, wkt check in sangat lemot dan susah untuk masuk, blm lgi saat lainnya memakai applikasi bersamaan, sering banget update jg memakan wktu dan kuota. Mohon diperbaiki bug2 yg srg terjadi, pdhl internetnya stabil dan kuota msh bnyk."
30minute Project,1,2022-03-30 08:04:28,Ini aplikasi seperti alat pelacak 😅. Jujur aja sy liat ijin aplikasinya sampai minta utk akses no telp ponsel . Gps harus nyala dan lain2 😅. Bukannya apa.. seharusnya sertifikat saja sudah cukup.. ga perlu chek in segala biar apa coba .
Ika Yuni,4,2022-03-30 06:14:24,Sdh bagus. Cuma harusnya sertifikat juga tersaji di beranda. Jadi utk pengguna yg notabene orang tua atau tidak paham gadget cukup buka aplikasi langsung tampak sertifikat. Tks
sevia Vani,1,2022-03-30 04:01:37,"Apk ini lemot sekali, gak bisa di akses data dirinya. memper susah akses untuk berpergian jika data diri selalu log out."
Dianita Evi Susanti,3,2022-03-30 03:56:34,Aplikasinya gampang..cuma buat revised data g bisa sampai sekarang masih pakai data yg salah. Dan kesalahan dari pihak isi data vaksin manual.
Ardiyanto Lutvi,2,2022-03-30 03:54:51,Saya sudah vaksin yang hanya satu kali Johnson & Johnson tgl 29 desember 2021 sertifikat sudah keluar. Tapi baru baru ini Saya cek di akun peduli lindungi malah kembali merah lagi status belum vaksin. Ini gimana si udah email peduli lindungi telpon juga gak ada respon. Sertifikat knp bisa ilang coba. Tolong di bantu
Lord Osh,1,2022-03-30 03:25:57,"Udah booster tgl 26 Maret 2022, sampai tgl 30 Maret 2022 sertifikat belum muncul, tak kirain perlu di refresh aja sekalinya tetap gak muncul. Call n email biocare juga belum muncul. Sudah disuntik tapi gak muncul sertifikat ini gimana ceritanya?"
win winarni,1,2022-03-30 03:20:14,"Halo admin, Ini aplikasi nya sudah saya update tapi kenapa malah tidak bisa dibuka sama sekali ya? Semua perizinan aplikasi aman, sinyal aman, ruang penyimpanan aman, tetapi tetap saja sama sekali tidak bisa dibuka."
Mang Uhe,5,2022-03-30 03:06:57,"Ini aplikasi benar2 sangat kacau...sertifikat vaksin ke-2 ga muncul2,sudah klaim kesana kemari ga ada hasil,giliran klaim melalui ini aplikasi,yang terbit malah sertifikat pertama lagi( jadinya ada dua sertifikat )...tidak lama kemudian saya periksa lagi ... Eeee..malah hilang kedua2nya,dan status saya jadi belum vaksin...ngaco bener2 ngaco... Namanya aja peduli lindungi,nyatanya ga bisa ngejamin keamanan penggunanya...padahal yg paling dibutuhkan saat ini SERTIFIKATnya itu... Paraaah...paraaah"
OutlookOfIndonesia Independence,2,2022-03-30 00:55:15,Kenapa saat coba klaim sertifikat vaksinasi ke.2 dan ke.3 selalu error katanya salah tanggal.padahal sesuai aktual ..sepertinya aplikasi menghitung tanggal secara otomatis dari tanggal vaksinasi pertama..jadi sepertinya perlu dibantu ..tapi kemana minta bantuan.ah sudahlah .petugas bot sibuk..maklum
Ogi Liani,5,2022-03-29 16:25:25,"Ini gimana cara unduh sertifikatnya? Udah diunduh kok ngga masuk galeri? Malah lebih gampang dulu pake link dikirim lewat sms, sekarang pake aplikasi kenapa malah susah?"
Bill,1,2022-03-29 15:16:38,"pengiriman kode vertifikasi 2 menit ga juga kekirim kirim,apk lemot akibatnya ketika daftar lagi batas limit ""Anda sudah melakukan 3 kali pengiriman kode verifikasi"" tidak bisa daftar....nyusahin"
vanz achmad,1,2022-03-29 14:07:45,Aneh² sertifikat vaksin punya anak koq ilang gk muncul²...udh di uninstal trus instal ulang gk muncul juga...hayooo kinerja nya yg bagus dooonk...kasian masyarakat yg udh lelah dgn kebijakan yg aneh aneh....
Kiswoyo Susilo,3,2022-03-29 14:00:27,"Aplikasi tidak bisa d update, menggunakan aplikasi versi lama, minta akses lokasi, d koneksi dgn google tdk bisa, kmdn d hapus dan download aplikasi baru...tp untuk masuk daftar ke aplikasi pedulilindungi, tidak konek alasan tidak bisa d akses, koneksi tidak oke...dll.."
Mas Gudiono,1,2022-03-29 12:24:29,"Selepas di update data malah hilang dan gak bisa klaim sertifikat....berulang2 masukan data tp tetap gak mau muncul,perintahnya kembali seperti awal lagi"
Anis Nurbany,1,2022-03-29 06:04:33,Tolong ini aplikasi di perbaiki. Di perbarui malah jadi lemot bangett ga bisa di buka itu sertifikatnya. Ga bisa buat buru². Nyesel udah di perbarui
Drk Zafira,2,2022-03-29 05:16:36,Kecewa . Aplikasi ni tidak membantu . Saya sudah melakukan vaksin . Tpi tidak dpt sertifikatnya n TDK terdaftar . Jelas2 sy ngantri di kecamatan smpe brjam jam . Tpi hasilnya malah data sy tidak masuk Gmn sih tlong diperbaiki dong . Wktu terbuang percuma hanya Krn vaksin
True !!,3,2022-03-29 03:35:34,ini gmn si! Kok gabisa scan cr code. Tolong bantuan ny saya chat di cs peduli lindungi cuma di kasi waktu sebentar pdhal sy juga sibuk. udh saya bales tpi malah yg muncul chat otomatis bot. Tlng ini gmn
Angga Bilal,1,2022-03-29 01:10:10,"Kaya nya, lagi error ya, ko log out melulu aplikasi nya, jadi ngak bisa chek in, untung satpam kantor nya baik, udah kenal jadi di bisa masuk, saya kasih bintang 1 dulu ya, klo udah pulih saya kasih bintang 5 lagi"
Muhammad Jibran Alfarizzi,5,2022-03-28 15:19:52,"Aplikasi ini berguna sekali di saat pandemi corona ini, aplikasi ini lagi banyak yg menggunakan nya lho ayo pasang sekarang juga, di jamin kalian kemana-mana bisa scen menggunakan aplikasi ini lho, ayo di coba!!!!!!!👍"
Edi lSuryadi,1,2022-03-28 15:06:20,"aplikasi ini jelek bnget! saya daftar baru/daftar ulang pake nomer hp baru, krn nomer hp yang lama sudah hangus, pedaftaran udah berhasil tpi anehnya wirayat vaksin dan sertifikat vaksin saya klik ga muncul, ada notice anda tidak memiliki sertifikat, aneh pdahal namanya sama, no nik nya sama tapi hanya karena daftar ulang pke no hp baru sertifikat vaksin jadi hilang ga muncul, jadinya aplikasi peduli lindungi ini jadi sia2 ga ke pake, untung aja sertifikat vaksinnya sebelumnya udah aku poto copy"
Haga Neguita Ginting,1,2022-03-28 09:33:03,"Applikasinya sepertinya tidak aman, saya masuk mall tanggal 25 maret. Tapi di buat 25 dan 26 maret di tempat dan pintu masuk mall yang sama, padahal saya tidak pigi di tanggal 26, bisa bikin miskomunikasi jika terus seperti ini. Terlepas di hack atau tidak? Seharusnya kalian menjaga keamanan aplikasi ini"
Nani Hardianto,2,2022-03-28 08:47:11,"Tolong kedepannya dibuat gampang aplikasi nya, terutama di kolom usia, jangan diberikan kalender karena payah buat mengisi usia yang udah lanjut, sebaiknya dibuat kolom penulisan tgl secara manual aja, kasian buat kami yg berumur lanjut, susah mengundurkan kalender nya ke belakang 🤕🤕"
kurniawan ng,1,2022-03-28 07:54:36,"Ini untuk penambahan booster, tidak ada pilihan vaksin luar negri, tolong di perbaiki agar bisa tambah vaksin ke 3, khusus nya vaksin luar negri, karena sangat penting, jadi kemana mana sulit padahal apk pemerintah yg di sarankan tapi banyak mines nya"
Kiki Roehan,1,2022-03-28 07:36:39,"Ini gmn ya setelah di up grade ke versi baru malah lambat dan susah dibukanya,,,, bs ga sih saya down grade lagi,,??? Sementara saya kasi bintang 1, jika sudah ada perbaikan saya tambah bintangnya,,"
Wates Empire,1,2022-03-28 06:49:20,"tiap update ada aja masalah yg keluar.. kemana""wajib pake ini.. tapi bug bukan di fix malah slalu ada aja kurangnya setelah update.. ANEH !!!"
Mitha Aydha,1,2022-03-28 04:01:50,Sertifikat vaksin hilang secara tiba2 padahal kemarin masih bisa dipakai. Aplikasi tidak membantu sama sekali. Kalo begini terus saya tidak bisa masuk kerja. Karena wajib scan tapi sertifikat saya hilang.
Yose R,2,2022-03-28 02:55:50,"Kenapa pengisian tgl lahir seperti kalender yg harus digeser bulan per bulan, ini menyulitkan. Coba kita bisa input manual tgl lahir, bulan dan tahun. Tolong diperbaiki padahal update terus tp keluhan kita tidak ditanggapi."
nopriadi nopri,1,2022-03-28 00:28:04,"Saya kan sudah Vaksin Booster, Dari awal bulan maret 2022, Kata petugasnya sertifikat akan muncul 1X24jam. Tapiiii kenyataaannya sampai detik ini sudah hampir 1 bln sertifikat saya diPedulilindungi gak muncul-muncul. Aneeeeeeh kan!!!!!!!!!! Berarti Aplikasi ini gak bermanfaat."
Andre Jonathan Aruan,5,2022-03-27 11:40:03,"Tolong aplikasinya dioptimalkan lagi, sertifikat vaksin sekarang jadi acak, yang harusnya sertifikat vaksin pertama jadi vaksin ketiga. Yang ketiga jadi pertama. Mohon segera diperbaiki."
Har Tini,1,2022-03-27 09:47:59,Aplikasi parah masak dicek status udah 2x vaksin. sertifikat gak muncul semua. Diklaim sertifikat juga gak mau. aplikasi penting tapi mengecewakan
M Alfin Alfin,5,2022-03-27 08:25:24,"Gimana aplikasi pedulilindungi ko semakin lama semakin kacau,mau cek sertivikat vaksin selalu minta klaem,tapi ga bisa juga baik dan ga ada hasilnya,malah kacau semua"
Herkulanus Heriadi,1,2022-03-27 06:28:38,"Aplikasi yang sangat mempersulit bukan mempermudah. Lemot, privasi tidak terjaga, sertifikat susah didapat padahal sudah vasinasi, pengisian identitas diri memperlambat waktu misal terdapat di tanggal lahir. Sangat tidak berbobot.!!!"
Ronal Andika,4,2022-03-27 00:39:09,"Aplikasi nya sering cek-in sendiri padahal, kita gak cek-in gak scan barkode,tapi notifikasi nya ada tplong di perbaiki"
Putra Langlang Buana,3,2022-03-26 15:25:10,"Pada bulan November 2021, Sudah Vaksin Johson & Johnson. Katanya cukup 1 dosis, tanpa booster. Selain mendapat Sertifikat Fisik, setelah 1x24 jam dalam aplikasi ini saya juga mendapat Soft Sertifikat. Tapi beberapa hari yang lalu, dalam aplikasi notifiksi STATUS MERAH. BELUM DIVAKSIN. Dan sertifikat yang sebelumnya ada dalam aplikasi mendadak hilang. UNTUK MENDAPATKAN SERTIFIKAT ANDA HARUS DIVAKSIN. Bagaimana ini? Apa memang aplikasi eror atau bagaimana, padahal Orang Lain Sertifikat muncul."
Istrinya daisuke Kambe,4,2022-03-26 09:56:23,"Ini sebenernya bagus, cuma ga bisa offline. Jadi kalo misalnya mau ke mall terus kebetulan ga ada kuota sudah juga.."
Maulina melinar Aisyah,1,2022-03-26 07:54:49,"Entah kenapa susah check-in , padahal jaringan lancar,gps juga nyala , setiap mau check in harus ke google maps nandain tempat baru bisa di check in"
Mukidi Chanel,3,2022-03-26 07:09:57,Daftar ehac untuk penerbngan internasional Kuala Lumpur ke jakarta kenapa ketika semua data sudah isi. Dan semua file sudah ter upload Pas di bagian terahir di tahapan selanjutnya tidak bisa ti tekan.
Michael Glendamar,1,2022-03-26 07:04:53,"gabisa scan qr gara"" nik tidak valid padahal nik saya valid dan pada saat cek sertifikat bisa saja nik nya tapi kenapa pada saat memasukan untuk scan tidak bisa"
